sourceSystem,sourceDirectory,sourceId,slug,name,typeLabel,excerpt,description,location,locationLabel,country,specialties,languages,formats,verified,listingStatus,reviewCount,rating,website,email,phone,organizationName,rawRole,rawOrganization,sourceLocation,city,stateProvince,postcode,sourceUrl,scrapedAt
apda-community,APDA Community,www.apdaparkinson.org/community/connecticut/resources-support-ct/activities/,connecticut-want-to-create-a-great-and-safe-home-exercise-space-watch-this-short-video-or-view-our-setting-up-for-success-safe-exercise-at-home-guide-here-resource-page,Want to create a great and safe home exercise space? Watch this short video or view our Setting Up for Success: Safe Exercise at Home Guide HERE,Exercise Program,Imported from APDA Connecticut community resources.,"At-Home Activities Tips For Safe At-Home Exercise If you have not been exercising regularly, please consult your healthcare provider before doing anything new.• Choose a space where you’ll have enough room to move around• If using a chair or other furniture for assistance, make sure it’s sturdy and isn’t going to slide around• If exercising by yourself, make sure you have access to a phone just in case• Make a plan: schedule fitness into your day and week• Consult your physician if you have any health concerns or are just getting started Our number one tip for at-home exercise is to TAKE A WALK if it is a safe option. There simply is no replacement for the outdoors, the fresh air, the movement, and it is free! Want to create a great and safe home exercise space? Watch this short video or view our Setting Up for Success: Safe Exercise at Home Guide HERE Note: We know many live exercise sessions are offered through Zoom. Click Here, if you would like to know a little more about how to use Zoom. APDA FREE Online Educational Programs","Connecticut, United States","Connecticut, United States",United States,At-Home Activities | Tips For Safe At-Home Exercise | Want to create a great and safe home exercise space? Watch this short video or view our Setting Up for Success: Safe Exercise at Home Guide HERE | APDA FREE Online Educational Programs | Visit our Virtual Events Calendar for a complete list of virtual programs. | Dr. Gilbert Hosts… | Take Control Series | APDA’s FREE Virtual Classes | Visit our Virtual Calendar for the most up to date registration information regarding the below. | Additional APDA Resources,,virtual,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/connecticut/resources-support-ct/activities/,daigre.chris@gmail.com,888-606-1688,APDA Connecticut,resource-page,American Parkinson Disease Association,"Connecticut, United States",,Connecticut,,https://www.apdaparkinson.org/community/connecticut/resources-support-ct/activities/,2026-03-28T05:36:55.020Z
apda-community,APDA Community,www.apdaparkinson.org/community/connecticut/resources-support-ct/dance-for-pd/,connecticut-parkinson-s-exercise-classes-apda-connecticut-resource-page,Parkinson's Exercise Classes | APDA Connecticut,Exercise Program,"APDA Connecticut Chapter is proud to support Neighborhood Music School (NMS) the Connecticut affiliate of Dance for PD®, the award-winning, internationally-acclaimed program of The Mark Morris Dance Group. Dance for PD® offers dance classes for people with Parkinson’s disease and related neurological disorders through its network of partners and affiliates in more than 300 communities in 25 countries. In Dance for PD® classes, people are empowered to explore movement and music in ways that are refreshing, enjoyable, stimulating, and creative. Dance for PD® focuses on developing artistry and grace while addressing concerns specific to people with Parkinson’s and other neurological disorders, such as balance, flexibility, coordination, gait, social isolation, and depression. Participants enjoy artistic and creative expression and the enjoyment of social interactions with others experiencing similar challenges. No dance experience is necessary and walkers, canes, and wheelchairs are welcome. (While many may experience health benefits or the alleviation of symptoms, it should be noted that this program is not intended to be a therapeutic offering.) Classes are held weekly and are open to people with any type of movement disorder, their companions, and visitors. Classes are free of charge and available for drop-in anytime. Due to COVID-19, all Dance for PD® classes is currently offered online via Zoom. The weekly schedule: Mondays: 10:00 a.m. – 11:15 a.m.For more info call 203-624-5189 ext. 57 or talbert@nmsnewhaven.org Fridays: 10:00 a.m. – 11:15 a.m.For more info call 203-624-5189 or talbert@nmsnewhaven.org On Mondays and/or Fridays at 10 am ET, please click the link below to join the class: Zoom class link: https://us02web.zoom.us/j/83028041993?pwd=a2pySGVIYlMxMm9ZcGo2MmgzQ3BJZz09Meeting ID: 830 2804 1993Passcode: dforpd Wednesdays, 10:30-11:45amInstructor: Rachel Balaban, Dance for PD® Certified Teacher Contact: rbalaban@nmsnewhaven.org 401.261.7062 Class link: * This program is supported by a community grant provided by the APDA Connecticut Chapter.","Overview APDA Connecticut Chapter is proud to support Neighborhood Music School (NMS) the Connecticut affiliate of Dance for PD®, the award-winning, internationally-acclaimed program of The Mark Morris Dance Group. Dance for PD® offers dance classes for people with Parkinson’s disease and related neurological disorders through its network of partners and affiliates in more than 300 communities in 25 countries. In Dance for PD® classes, people are empowered to explore movement and music in ways that are refreshing, enjoyable, stimulating, and creative. Dance for PD® focuses on developing artistry and grace while addressing concerns specific to people with Parkinson’s and other neurological disorders, such as balance, flexibility, coordination, gait, social isolation, and depression. Participants enjoy artistic and creative expression and the enjoyment of social interactions with others experiencing similar challenges. No dance experience is necessary and walkers, canes, and wheelchairs are welcome. (While many may experience health benefits or the alleviation of symptoms, it should be noted that this program is not intended to be a therapeutic offering.) Classes are held weekly and are open to people with any type of movement disorder, their companions, and visitors. Classes are free of charge and available for drop-in anytime. Due to COVID-19, all Dance for PD® classes is currently offered online via Zoom. The weekly schedule: Mondays: 10:00 a.m. – 11:15 a.m.For more info call 203-624-5189 ext. 57 or talbert@nmsnewhaven.org Fridays: 10:00 a.m. – 11:15 a.m.For more info call 203-624-5189 or talbert@nmsnewhaven.org On Mondays and/or Fridays at 10 am ET, please click the link below to join the class: Zoom class link: https://us02web.zoom.us/j/83028041993?pwd=a2pySGVIYlMxMm9ZcGo2MmgzQ3BJZz09Meeting ID: 830 2804 1993Passcode: dforpd Wednesdays, 10:30-11:45amInstructor: Rachel Balaban, Dance for PD® Certified Teacher Contact: rbalaban@nmsnewhaven.org 401.261.7062 Class link: * This program is supported by a community grant provided by the APDA Connecticut Chapter.","Connecticut, United States","Connecticut, United States",United States,Exercise | Wellness | Parkinson's Care,,virtual,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/connecticut/resources-support-ct/dance-for-pd/,talbert@nmsnewhaven.org,,APDA Connecticut,resource-page,American Parkinson Disease Association,"Connecticut, United States",,Connecticut,,https://www.apdaparkinson.org/community/connecticut/resources-support-ct/dance-for-pd/,2026-03-28T05:36:55.021Z
apda-community,APDA Community,www.apdaparkinson.org/community/connecticut/events-ct/connecticut-past-programs-and-events/,connecticut-apda-connecticut-educational-webinar-series-resource-page,APDA Connecticut Educational Webinar Series,Exercise Program,"Missed any of the APDA Connecticut Educational Webinars???No worries, you can view them online! 2025 Programs- APDA CT 2025 Educational Conference – Intro & Clemens Scherzer MD APDA CT 2025 Educational Conference – Exercise Session APDA CT 2025 Educational Conference – Panel and closing remarks 2024 Programs- Mental Health & PD – Cognition, Depression, Anxiety and More Cognitive & Psychiatric Symptoms of PD – Presented by Dr. Ana Vives Rodriguez Parkinson’s Disease and Sleep – Presented by Brian Koo, MD 2023 Programs- A Guide to Mediation and Mindfullness – Presnted by Sharon Gutterman, PhD 2023 Fall Education Conference Webinar August 2023- Parkinson’s Disease and Gut Health- Presented by Monica Marcello, RD Webinar July 2023 – Deep Brain Stimulation Is It Right For Me? -Presented by Duarte Machado, MD Webinar June 2023- Driving and Fitness and Parkinson’s Disease with Joan Sevigny Cramer, OT Webinar May 2023- PD and the Importance of having a SLP on your team with Julie Summers CCC-SLP April 2023 APDA Connecticut Symposim 2022 Programs- September 2022 – Preventing Parkinson’s Disease: The Long and Winding Road that Leads to Your Door with Dr. Jesse M. Cedarbaum November 2022 – Autonomic Dysfunction in Parkinson’s Disease with Dr. Veronica Santini 2021 Programs- January 2021 – Updates in Parkinson’s Disease with Dr. Leon Meytin February 2021 – Understanding the Role of Inflammation in Parkinson’s Disease with Dr. Duarte Machado March 2021 – Understanding Non-Motor Symptoms in Parkinson’s Disease with Dr. Michelle Lavallee Dagostine August 2021 – Heredofamilial Parkinson’s Disease and Targeted Therapies with Dr. Joy Antonelle De Marcaida October 2021 – Neuropsychiatric Symptoms in Parkinson’s Disease with Dr. Marisa Moro De Casillas December 2021 – Psychosocial Strategies Over the Holidays with Jennifer Lambert, LCSW","APDA Connecticut Educational Webinar Series Missed any of the APDA Connecticut Educational Webinars???No worries, you can view them online! 2025 Programs- APDA CT 2025 Educational Conference – Intro & Clemens Scherzer MD APDA CT 2025 Educational Conference – Exercise Session APDA CT 2025 Educational Conference – Panel and closing remarks 2024 Programs- Mental Health & PD – Cognition, Depression, Anxiety and More Cognitive & Psychiatric Symptoms of PD – Presented by Dr. Ana Vives Rodriguez Parkinson’s Disease and Sleep – Presented by Brian Koo, MD 2023 Programs- A Guide to Mediation and Mindfullness – Presnted by Sharon Gutterman, PhD 2023 Fall Education Conference Webinar August 2023- Parkinson’s Disease and Gut Health- Presented by Monica Marcello, RD Webinar July 2023 – Deep Brain Stimulation Is It Right For Me? -Presented by Duarte Machado, MD Webinar June 2023- Driving and Fitness and Parkinson’s Disease with Joan Sevigny Cramer, OT Webinar May 2023- PD and the Importance of having a SLP on your team with Julie Summers CCC-SLP April 2023 APDA Connecticut Symposim 2022 Programs- September 2022 – Preventing Parkinson’s Disease: The Long and Winding Road that Leads to Your Door with Dr. Jesse M. Cedarbaum November 2022 – Autonomic Dysfunction in Parkinson’s Disease with Dr. Veronica Santini 2021 Programs- January 2021 – Updates in Parkinson’s Disease with Dr. Leon Meytin February 2021 – Understanding the Role of Inflammation in Parkinson’s Disease with Dr. Duarte Machado March 2021 – Understanding Non-Motor Symptoms in Parkinson’s Disease with Dr. Michelle Lavallee Dagostine August 2021 – Heredofamilial Parkinson’s Disease and Targeted Therapies with Dr. Joy Antonelle De Marcaida October 2021 – Neuropsychiatric Symptoms in Parkinson’s Disease with Dr. Marisa Moro De Casillas December 2021 – Psychosocial Strategies Over the Holidays with Jennifer Lambert, LCSW APDA Westport Optimism Walk!We didn’t let a little rain dampen our Spirits!A Special “Thank you!” to our Fundraisers, Teams, Board Members, and our Sponsors! We exceeded our goal of $40,000! Raising over $45,000!","Connecticut, United States","Connecticut, United States",United States,"APDA Connecticut Educational Webinar Series | APDA Westport Optimism Walk!We didn’t let a little rain dampen our Spirits!A Special “Thank you!” to our Fundraisers, Teams, Board Members, and our Sponsors! We exceeded our goal of $40,000! Raising over $45,000! | Exercise | Wellness | Parkinson's Care",,virtual,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/connecticut/events-ct/connecticut-past-programs-and-events/,,,APDA Connecticut,resource-page,American Parkinson Disease Association,"Connecticut, United States",,Connecticut,,https://www.apdaparkinson.org/community/connecticut/events-ct/connecticut-past-programs-and-events/,2026-03-28T05:36:55.021Z
apda-community,APDA Community,www.apdaparkinson.org/community/florida/upcoming-florida-chapter-events/,florida-connectando-a-traves-del-arte-resource-page,Connectando a Traves Del Arte,Education Event,"9 de junio Un programa bilingüe (español-inglés) de artes creativas LIBRE DE COSTO diseñado para personas con la enfermedad de Parkinson (EP), sus cuidadores, y la comunidad en general.","Connectando a Traves Del Arte 9 de junio Un programa bilingüe (español-inglés) de artes creativas LIBRE DE COSTO diseñado para personas con la enfermedad de Parkinson (EP), sus cuidadores, y la comunidad en general. PD Journal Club – Virtual Wednesday, April 15 Are you a person with Parkinson’s or a Care Partner interested in learning more about PD clinical trials and published research studies? Then Parkinson’s Journal Club is for you! Join Dr. Dalvi of Palm Beach Neuroscience Institute as he dives into a quarterly event to navigate clinical trial results and published research studies. Connect with the Care Team: An APDA Parkinson’s Educational Program Palm Beach County – April 21 Orlando Area – August Connect with the Care Team is a casual presentation with Q&A provided by the APDA Florida Chapter. Parkinson’s Care Team providers bring expertise across a range of topics to consider during your or a loved one’s PD journey. CWCT is intended for People with Parkinson’s, their care partners, families, and friends looking to support people impacted by Parkinson’s. APDA Optimists 2026 Disney Wine & Dine Half Marathon Weekend October 23 – 25 APDA is an official charity partner for the 2026 Disney Wine and Dine Half Marathon Weekend. By signing up to run as an APDA Optimist, you will help support our mission to help everyone affected by Parkinson’s disease live life to the fullest.","Florida, United States","Florida, United States",United States,Connectando a Traves Del Arte | PD Journal Club – Virtual | Connect with the Care Team: An APDA Parkinson’s Educational Program | APDA Optimists 2026 Disney Wine & Dine Half Marathon Weekend | APDA Optimists 2027 Walt Disney World Marathon Weekend | Education | Community Event | Parkinson's Care,English | Spanish,virtual,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/florida/upcoming-florida-chapter-events/,,,APDA Florida,resource-page,American Parkinson Disease Association,"Florida, United States",,Florida,,https://www.apdaparkinson.org/community/florida/upcoming-florida-chapter-events/,2026-03-28T05:36:55.021Z
apda-community,APDA Community,www.apdaparkinson.org/community/florida/resources-support-fl/sofl-support-groups/,florida-the-following-groups-are-not-apda-affiliated-please-reach-out-to-each-community-group-and-contact-for-full-program-information-33409,The following groups are not APDA-affiliated. Please reach out to each community group and contact for full program information.,Support Group,"Support groups are at no cost to you and are open to people with Parkinson’s disease (PWP), including their spouses, family members and care partners. Each group is run differently. It is suggested you reach out to the contact before attending a group. We are working tirelessly to develop Support Groups in every area of the state, if you do not see one available in your county call (954) 952-0429 for more information on available resources. 4th Thursday of the month at 2PM EST APDA Florida looks forward to connecting with our unique community of Parkinson’s Care Partners. In the PD world we call them Care Partners and not Care Givers as the patient must buy in to treatment and managing symptoms, medication, and movement alongside their support system. Taking care of yourself is as important as caring for your loved one with PD. It is crucial to find support for yourself as a Care Partner so that you care for yourself while caring for your loved one.","Overview Support groups are at no cost to you and are open to people with Parkinson’s disease (PWP), including their spouses, family members and care partners. Each group is run differently. It is suggested you reach out to the contact before attending a group. We are working tirelessly to develop Support Groups in every area of the state, if you do not see one available in your county call (954) 952-0429 for more information on available resources. 4th Thursday of the month at 2PM EST APDA Florida looks forward to connecting with our unique community of Parkinson’s Care Partners. In the PD world we call them Care Partners and not Care Givers as the patient must buy in to treatment and managing symptoms, medication, and movement alongside their support system. Taking care of yourself is as important as caring for your loved one with PD. It is crucial to find support for yourself as a Care Partner so that you care for yourself while caring for your loved one. The following groups are not APDA-affiliated. Please reach out to each community group and contact for full program information. Brevard What: Central Brevard Parkinson’s Support GroupCentral Brevard Public Library- 308 Forrest Ave, Cocoa, FL– 2nd Monday of each Month 2pm- 4pm -2nd Saturday of each Month 10:00am-11:30am: Care Partner OnlyContact: Cathy Moran 321-338-7855 iampoidogmom@gmail.com What: Parkinson’s Support GroupWhere: 2176 Sarno Rd, Ste 102, Melbourne, FL– Every Wednesday 9:15am – 10:15am – Every 4th Thursday of the Month 10:00am-11:00amContact: Janice Moia 321-693-9246 advancefitness@rsbaffiliate.com Viera East and Palm Bay Parkinson’s Support Group-Center for Family Caregivers- 3661 S Babcock St, Melbourne, FL -One Senior Place- 8085 Spyglass Hill Rd, Melbourne, FL Call for full details: Barbara Fradkin 321-751-6771 Broward What: PWP and Care Partners Support GroupWhere: Cavalry Chapel: 2101 W Cypress Creek Road, Fort Lauderdale, FL 33309When: 1st and 3rd Thursday of every month @ 11amContact: Debbie Schmidt 954-684-4694 What: PWP and Care Partners Support GroupWhere: ENCOMPASS Rehab- 4399 Nob Hill Rd, Sunrise, FL 33351When: 1st Tuesday of every month from 3pm-4pmContact: Lauren Leiva 954-803-8035 What: PWP and CaregiversWhere: Raw Kickboxing and Fitness- 1322 N. University Drive, Coral Springs, FL 33071When: Usually the 3rd or 4th Saturday of each month from 12:45 pm until 1:45 pm. Please call for a definite date. Contact: Allie Barker- 954-575-6000","West Palm Beach, FL, United States","West Palm Beach, FL, United States",United States,The following groups are not APDA-affiliated. Please reach out to each community group and contact for full program information. | Brevard | Broward | Clay | Escambia | Flagler | Hillsborough | Indian River | Lake | Martin,,hybrid,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/florida/resources-support-fl/sofl-support-groups/,parkinsonlifecorporation@gmail.com,,APDA Florida,support-groups,American Parkinson Disease Association,"West Palm Beach, FL, United States",West Palm Beach,FL,33409,https://www.apdaparkinson.org/community/florida/resources-support-fl/sofl-support-groups/,2026-03-28T05:36:55.021Z
apda-community,APDA Community,www.apdaparkinson.org/community/florida/resources-support-fl/,florida-local-resources-and-support-support-groups,Local Resources and Support,Support Group,Imported from APDA Florida community resources.,"Local Resources and Support Care Partner Support Groups A list of care partner support groups and contact information. Support Groups Support groups are at no cost to you and are open to people with Parkinson’s disease, including their spouses, family members and care partners. Parkinson’s Roadmap for Education and Support Services™ (PRESS™) This 8 week program is designed to help people with PD and their family members better understand Parkinson’s and to provide them with emotional and social support.","Florida, United States","Florida, United States",United States,Local Resources and Support | Care Partner Support Groups | Support Groups | Parkinson’s Roadmap for Education and Support Services™ (PRESS™) | Health & Wellness Activities | E-Newsletter | Dance for PD® | SMART PATIENTS | Support Group | Parkinson's Care,,in-person,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/florida/resources-support-fl/,apdaparkinson.org,,APDA Florida,support-groups,American Parkinson Disease Association,"Florida, United States",,Florida,,https://www.apdaparkinson.org/community/florida/resources-support-fl/,2026-03-28T05:36:55.021Z
apda-community,APDA Community,www.apdaparkinson.org/community/florida/resources-support-fl/newly-diagnosed-programs/,florida-newly-diagnosed-you-are-not-alone-resource-page,Newly Diagnosed? You are not alone!,Support Group,"If you’re new to Parkinson’s disease and are looking for resources, you are in the right place. APDA is a great place to get started with reliable and concise information. We offer a variety of resources and programs for individuals newly diagnosed with PD and family members and friends who want to learn more.","Newly Diagnosed? You are not alone! If you’re new to Parkinson’s disease and are looking for resources, you are in the right place. APDA is a great place to get started with reliable and concise information. We offer a variety of resources and programs for individuals newly diagnosed with PD and family members and friends who want to learn more. PD Essentials An Introduction to Parkinson’s Disease A 60-minute session for those who want to learn more. This program will give you an overview of Parkinson’s disease and provide information about community resources and support. Perfect for anyone new to Parkinson’s disease, including family members and friends of those newly diagnosed. PD Essentials is free to attend, but registration is required. To learn about upcoming PD ESSENTIALS presentations, contact Desirae Mearns, dmearns@apdaparkinson.org PRESS Program The PRESS Program (Parkinson’s Roadmap for Education and Support Services) was designed for those diagnosed with PD within the last 5 years. This eight-week program, conducted in a support group format, will help you feel empowered, in control, and optimistic. The PRESS (Parkinson’s Roadmap for Education and Support Services) program was designed to provide emotional support and a safe place to share coping strategies to live your best life with PD. “The course was invaluable in educating us, and alleviating a lot of fear about the disease and future. Leanne was an exceptional leader. She was consistently professional, yet warm, supportive, and encouraging of everyone to actively participate. It was very beneficial to hear from Randy, who has been living with PD for some time and his sharing his journey, successes, etc. I’m so thankful for this course and the opportunity to participate. Thanks for all you do!“ Topics Covered: What’s Next After Diagnosis Medication Management of Parkinson’s The Importance of Exercise Dealing with Physical Symptoms of PD Impact of Parkinson’s on Daily Coping and Relationships Tips for Daily Living Caring for Others, Caring for Yourself Building Your Healthcare Team","Florida, United States","Florida, United States",United States,Newly Diagnosed? You are not alone! | PD Essentials | An Introduction to Parkinson’s Disease | PRESS Program | FURTHER INFORMATION & PROGRAM REQUIREMENTS: | Support Group | Parkinson's Care,,in-person,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/florida/resources-support-fl/newly-diagnosed-programs/,,,APDA Florida,resource-page,American Parkinson Disease Association,"Florida, United States",,Florida,,https://www.apdaparkinson.org/community/florida/resources-support-fl/newly-diagnosed-programs/,2026-03-28T05:36:55.022Z
apda-community,APDA Community,www.apdaparkinson.org/community/florida/resources-support-fl/carepartner-support-groups/,florida-support-groups-for-parkinson-s-caregivers-apda-south-florida-support-groups,Support Groups for Parkinson's Caregivers | APDA South Florida,Support Group,Join us in a conversation about how to help a loved one live and manage Parkinson’s Disease symptoms. The program is designed to help family members and care partners of people with Parkinson’s Disease. This group is made possible with the partnership with the University of Miami Miller School of Medicine and American Parkinson Disease Association (APDA). 2025 Dates: 1/13 2/10 3/10 4/7 5/12 6/9 9/8 10/13 11/10 4:00PM-5:00PM (Eastern Time) For questions and help registering please reach out to: VVicente@apdaparkinson.org 561-214-2856 Acompáñenos en una conversación sobre cómo ayudar a un ser querido a vivir y a manejar los síntomas de la enfermedad de Parkinson para tener la mejor calidad de vida posible. El programa está diseñado para ayudar a los familiares y cuidadores de personas con la enfermedad de Parkinson. Este grupo es una colaboración entre la Universidad de Miami Miller School of Medicine y la Asociación Americana de Enfermedad de Parkinson (APDA). 2025 Fechas: 1/14 2/11 3/11 4/8 5/13 6/10 9/9 10/14 11/11 4:00PM-5:00PM (hora del este) Para Preguntas: VVicente@apdaparkinson.org 561-214-2856,Overview Join us in a conversation about how to help a loved one live and manage Parkinson’s Disease symptoms. The program is designed to help family members and care partners of people with Parkinson’s Disease. This group is made possible with the partnership with the University of Miami Miller School of Medicine and American Parkinson Disease Association (APDA). 2025 Dates: 1/13 2/10 3/10 4/7 5/12 6/9 9/8 10/13 11/10 4:00PM-5:00PM (Eastern Time) For questions and help registering please reach out to: VVicente@apdaparkinson.org 561-214-2856 Acompáñenos en una conversación sobre cómo ayudar a un ser querido a vivir y a manejar los síntomas de la enfermedad de Parkinson para tener la mejor calidad de vida posible. El programa está diseñado para ayudar a los familiares y cuidadores de personas con la enfermedad de Parkinson. Este grupo es una colaboración entre la Universidad de Miami Miller School of Medicine y la Asociación Americana de Enfermedad de Parkinson (APDA). 2025 Fechas: 1/14 2/11 3/11 4/8 5/13 6/10 9/9 10/14 11/11 4:00PM-5:00PM (hora del este) Para Preguntas: VVicente@apdaparkinson.org 561-214-2856,"Florida, United States","Florida, United States",United States,Support Group | Parkinson's Care,,in-person,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/florida/resources-support-fl/carepartner-support-groups/,,,APDA Florida,support-groups,American Parkinson Disease Association,"Florida, United States",,Florida,,https://www.apdaparkinson.org/community/florida/resources-support-fl/carepartner-support-groups/,2026-03-28T05:36:55.022Z
apda-community,APDA Community,www.apdaparkinson.org/community/florida/resources-support-fl/health-wellness-activities/,florida-community-partners-across-florida-offer-a-variety-of-health-and-wellness-activities-including-fitness-self-care-nutritional-and-mindfulness-to-assist-the-parkinson-s-community-with-developing-their-personal-wellness-goals-please-visit-the-community-partner-contact-information-for-specific-programs-and-fee-details-32935,"Community Partners across Florida offer a variety of health and wellness activities including fitness, self-care, nutritional, and mindfulness to assist the Parkinson’s community with developing their personal wellness goals. Please visit the community partner contact information for specific programs and fee details.",Referral Center,Imported from APDA Florida community resources.,"Community Partners across Florida offer a variety of health and wellness activities including fitness, self-care, nutritional, and mindfulness to assist the Parkinson’s community with developing their personal wellness goals. Please visit the community partner contact information for specific programs and fee details. Alachua Dance for Life: University of Florida McGuire Theater and Dance Pavilion- McCarty Drive, Gainesville FL 32603 Please contact Whitney at 352-733-0880 or wwilson@arts.ufl.edu Rock Steady Boxing: Oak Hammock, Gainesville: 5100 SW 25th Blvd, Gainesville, FL 32608 Please call for class schedule and information 352-548-1170 Bay Dancing for Parkinson’s: Dance Life Dance Studio- 415 Harrison Ave, Panama City, FL 32401 Please call for class schedules: 850-215-4453 Brevard Rock Steady Boxing: Advance Fitness, Melbourne: 2176 Sarno Road, Ste 102, Melbourne, FL 32935 Serving Melbourne, Palm Bay, Viera, and Beachside. Please contact Advance Fitness for class details and fees 321-693-9246 Rock Steady Boxing: Fyzical Balance & Therapy Center, Indialantic: 150 5th Ave, Ste C, Indialantic, FL 32903 Please call for class details and fees: 321-372-3090 Rock Steady Boxing: RockBox Fitness, Rockledge: 3809 Murrell Road, Rockledge, FL 32955 Please call for class details and fees 321-720-4167 Rock Steady Boxing: T’ville Uppercut, Titusville: 835 Sycamore St, Building C, Titusville, FL 32780 Classes are held on Mondays, Wednesdays, and Fridays from 8:30am-9:30am. For more information call Gibson Gym at 256-425-8791 DANCE S.T.E.P.S (Skills To Ease Parkinson’s Symptoms) 2nd Tuesday and 4th Thursday of each month, FREE to attend, Call Janet Steiner for full details and class times- 321-848-4784 PWR (Parkinson’s Wellness and Recovery) Moves provided by Knight Physical Therapy: 6431 Lake Andrew Drive, Suite 103, Melbourne, FL 32940, call for class information and eligibility- contact Nicole 321-473-6773 PWR (Parkinson’s Wellness and Recovery) Moves: 2210 Cheney Hwy, Titusville, FL 32780, call for class information and eligibility- contact Amanda 321-268-6181 ext 8590","Melbourne, FL, United States","Melbourne, FL, United States",United States,"Community Partners across Florida offer a variety of health and wellness activities including fitness, self-care, nutritional, and mindfulness to assist the Parkinson’s community with developing their personal wellness goals. Please visit the community partner contact information for specific programs and fee details. | Alachua | Bay | Brevard | Broward | Charlotte | Citrus | Collier | Duval | Flagler",,hybrid,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/florida/resources-support-fl/health-wellness-activities/,,,APDA Florida,resource-page,American Parkinson Disease Association,"Melbourne, FL, United States",Melbourne,FL,32935,https://www.apdaparkinson.org/community/florida/resources-support-fl/health-wellness-activities/,2026-03-28T05:36:55.022Z
apda-community,APDA Community,www.apdaparkinson.org/community/florida/resources-support-fl/pwrmoves/,florida-pwr-moves-programs-by-county-resource-page,PWR!Moves® programs by county,Exercise Program,"PWR!Moves help you mitigate symptoms and rebuild functionality, no matter how you incorporate them into your life. They’re beneficial in stand-alone group exercise classes, integrated into your daily activities and routines (such as activities of daily living, recreation, sports, and hobbies), in physical and exercise therapy settings.","PWR!Moves® programs by county PWR!Moves help you mitigate symptoms and rebuild functionality, no matter how you incorporate them into your life. They’re beneficial in stand-alone group exercise classes, integrated into your daily activities and routines (such as activities of daily living, recreation, sports, and hobbies), in physical and exercise therapy settings. St Lucie Where: Port St. Lucie Community Center- 2195 SE Airoso Blvd, Port St Lucie, FL When: Tuesdays and Thursdays 2pm – 2:50pmContact: Port St Lucie Parks and Recreation: 772-807-4466 Fee: $50 a month or $10 per class – FREE Assessment","Florida, United States","Florida, United States",United States,PWR!Moves® programs by county | St Lucie | Exercise | Wellness | Parkinson's Care,,in-person,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/florida/resources-support-fl/pwrmoves/,,,APDA Florida,resource-page,American Parkinson Disease Association,"Florida, United States",,Florida,,https://www.apdaparkinson.org/community/florida/resources-support-fl/pwrmoves/,2026-03-28T05:36:55.022Z
apda-community,APDA Community,www.apdaparkinson.org/community/florida/resources-support-fl/senior-companion-program/,florida-senior-companion-program-33305,Senior Companion Program,Education Event,"The South Florida Institute on Aging Senior Companion Program provide no cost services to frail elderly, adults with disabilities and terminal illnesses who need extra assistance to live independently in their own homes and Respite for Caregivers. Participating in the program helps the client to maintain independence, reduce isolation, improve positive mental health, quality of life and their dignity. The Senior Companion Program is part of Senior Corps, a network of National and Community Service Programs that each year supports the engagement of nearly 500,000 Americans age 55 and older in service to meet critical needs in education, the environment, public safety, homeland security, and other areas. If you live in the Broward County you might be eligible for this program.For more information on this program please contact the So. Florida Institute on Aging (SoFIA) at: 2038 N. Dixie Highway, Suite 201, Fort Lauderdale, FL 33305 954-484-7117 or info@thesofia.org","Senior Companion Program The South Florida Institute on Aging Senior Companion Program provide no cost services to frail elderly, adults with disabilities and terminal illnesses who need extra assistance to live independently in their own homes and Respite for Caregivers. Participating in the program helps the client to maintain independence, reduce isolation, improve positive mental health, quality of life and their dignity. The Senior Companion Program is part of Senior Corps, a network of National and Community Service Programs that each year supports the engagement of nearly 500,000 Americans age 55 and older in service to meet critical needs in education, the environment, public safety, homeland security, and other areas. If you live in the Broward County you might be eligible for this program.For more information on this program please contact the So. Florida Institute on Aging (SoFIA) at: 2038 N. Dixie Highway, Suite 201, Fort Lauderdale, FL 33305 954-484-7117 or info@thesofia.org","Fort Lauderdale, FL, United States","Fort Lauderdale, FL, United States",United States,Senior Companion Program | Education | Community Event | Parkinson's Care,,in-person,true,official_directory_import,0,0,https://www.apdaparkinson.org/community/florida/resources-support-fl/senior-companion-program/,,,APDA Florida,resource-page,American Parkinson Disease Association,"Fort Lauderdale, FL, United States",Fort Lauderdale,FL,33305,https://www.apdaparkinson.org/community/florida/resources-support-fl/senior-companion-program/,2026-03-28T05:36:55.023Z
